-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                         Memcpy HtoD (Pinned -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      15.038us         0.01%      15.038us       0.501us            30
                                 aten::_index_put_impl_         0.02%      51.233us         0.06%     166.290us      55.430us       7.008us         0.00%      14.944us       4.981us             3
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       7.008us         0.00%       7.008us       2.336us             3
                                              aten::add         0.02%      58.894us         0.03%      88.250us       9.806us       6.720us         0.00%       6.720us       0.747us             9
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       6.719us         0.00%       6.719us       2.240us             3
                           _compute_slot_mapping_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       5.247us         0.00%       5.247us       1.749us             3
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       5.184us         0.00%       5.184us       0.864us             6
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       5.151us         0.00%       5.151us       5.151us             1
                                  cudaStreamIsCapturing         0.03%      83.677us         0.03%      83.677us       0.551us       4.960us         0.00%       4.960us       0.033us           152
                               cudaEventRecordWithFlags         0.01%      41.797us         0.01%      41.797us       2.090us       4.480us         0.00%       4.480us       0.224us            20
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.680us         0.00%       3.680us       1.227us             3
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.040us         0.00%       3.040us       0.760us             4
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.040us         0.00%       3.040us       1.013us             3
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       2.945us         0.00%       2.945us       0.982us             3
                                              aten::sub         0.01%      28.054us         0.02%      44.279us      14.760us       2.592us         0.00%       2.592us       0.864us             3
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       2.592us         0.00%       2.592us       0.864us             3
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       1.344us         0.00%       1.344us       0.672us             2
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us       1.312us         0.00%       1.312us       0.437us             3
                 execute_context_1(512)_generation_0(0)         2.47%       7.252ms        19.20%      56.384ms      56.384ms       0.000us         0.00%      33.539ms      33.539ms             1
                                Activity Buffer Request         0.67%       1.957ms         0.67%       1.957ms       1.957ms       0.000us         0.00%       0.000us       0.000us             1
                                   cudaEventSynchronize         0.50%       1.480ms         0.50%       1.480ms     184.992us       0.000us         0.00%       0.000us       0.000us             8
                                            aten::empty         2.47%       7.255ms         2.47%       7.262ms       3.069us       0.000us         0.00%       0.000us       0.000us          2366
                                         cudaEventQuery         0.01%      15.994us         0.01%      15.994us       1.454us       0.000us         0.00%       0.000us       0.000us            11
                                               aten::to         0.12%     361.035us        34.80%     102.166ms     529.356us       0.000us         0.00%     101.213us       0.524us           193
                                       aten::lift_fresh         0.01%      23.782us         0.01%      23.782us       0.210us       0.000us         0.00%       0.000us       0.000us           113
                                          aten::detach_         0.01%      19.923us         0.01%      19.923us       0.192us       0.000us         0.00%       0.000us       0.000us           104
                                         aten::_to_copy         0.25%     747.441us        34.67%     101.805ms     578.435us       0.000us         0.00%     101.213us       0.575us           176
                                    aten::empty_strided         0.49%       1.435ms         0.49%       1.444ms       3.924us       0.000us         0.00%       0.000us       0.000us           368
                                        cudaMemcpyAsync         0.45%       1.318ms         0.45%       1.318ms       9.765us       0.000us         0.00%       0.000us       0.000us           135
                                            aten::slice         0.68%       1.998ms         0.85%       2.487ms       2.629us       0.000us         0.00%       0.000us       0.000us           946
                                       aten::as_strided         0.49%       1.445ms         0.49%       1.445ms       0.491us       0.000us         0.00%       0.000us       0.000us          2941
                                          aten::flatten         0.00%      13.068us         0.01%      21.314us       7.105us       0.000us         0.00%       0.000us       0.000us             3
                                             aten::view         0.23%     677.871us         0.23%     677.871us       0.586us       0.000us         0.00%       0.000us       0.000us          1157
                                     aten::index_select         1.69%       4.969ms         5.46%      16.021ms      30.929us       0.000us         0.00%       1.272ms       2.456us           518
                                           aten::detach         0.00%       8.294us         0.00%       8.294us       1.382us       0.000us         0.00%       0.000us       0.000us             6
                                     aten::resolve_conj         0.00%       2.776us         0.00%       2.776us       0.308us       0.000us         0.00%       0.000us       0.000us             9
                                      aten::resolve_neg         0.00%       1.199us         0.00%       1.199us       0.133us       0.000us         0.00%       0.000us       0.000us             9
                                       cudaLaunchKernel         1.87%       5.479ms         1.87%       5.479ms       5.233us       0.000us         0.00%       0.000us       0.000us          1047
                                          aten::reshape         0.00%      14.136us         0.01%      26.228us       2.186us       0.000us         0.00%       0.000us       0.000us            12
                                       cuLaunchKernelEx         3.20%       9.382ms         3.20%       9.382ms       4.183us       0.000us         0.00%       0.000us       0.000us          2243
                                               aten::lt         0.00%      12.325us         0.00%      12.325us       4.108us       0.000us         0.00%       0.000us       0.000us             3
                                        aten::embedding         0.00%       7.925us         0.05%     135.100us      45.033us       0.000us         0.00%       9.568us       3.189us             3
                                          aten::resize_         0.38%       1.109ms         0.38%       1.109ms       2.153us       0.000us         0.00%       0.000us       0.000us           515
                                           aten::expand         0.40%       1.174ms         0.50%       1.481ms       2.247us       0.000us         0.00%       0.000us       0.000us           659
                                  cudaStreamSynchronize        33.24%      97.587ms        33.24%      97.587ms       1.017ms       0.000us         0.00%       0.000us       0.000us            96
                                 aten::split_with_sizes         0.11%     318.872us         0.14%     401.073us       8.356us       0.000us         0.00%       0.000us       0.000us            48
                          vllm::unified_kv_cache_update         0.52%       1.519ms         1.17%       3.441ms      71.680us       0.000us         0.00%     348.767us       7.266us            48
                                        aten::transpose         0.15%     435.402us         0.20%     575.667us       3.916us       0.000us         0.00%       0.000us       0.000us           147
