-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
void at::native::radixSortKVInPlace<-2, -1, 128, 32,...         0.00%       0.000us         0.00%       0.000us       0.000us     208.414us         0.08%     208.414us      13.026us            16
                                         aten::scatter_         0.11%     521.887us         0.17%     791.630us      16.492us     188.861us         0.07%     188.861us       3.935us            48
void at::native::_scatter_gather_elementwise_kernel<...         0.00%       0.000us         0.00%       0.000us       0.000us     188.861us         0.07%     188.861us       3.935us            48
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     184.928us         0.07%     184.928us       1.926us            96
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us     184.451us         0.07%     184.451us       0.358us           515
                              aten::_local_scalar_dense         0.40%       1.875ms         1.34%       6.230ms      12.169us     183.426us         0.07%     183.426us       0.358us           512
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     181.310us         0.07%     181.310us       3.777us            48
                       Memcpy DtoH (Device -> Pageable)         0.00%       0.000us         0.00%       0.000us       0.000us     172.496us         0.07%     172.496us       0.337us           512
                                        Memset (Device)         0.00%       0.000us         0.00%       0.000us       0.000us     148.343us         0.06%     148.343us       0.773us           192
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us     132.031us         0.05%     132.031us     132.031us             1
                                   _moe_C::topk_softmax         0.12%     543.802us         0.22%       1.037ms      21.596us     129.181us         0.05%     129.181us       2.691us            48
void vllm::moe::topkGating<8, 64, 4, 16, 32, int, __...         0.00%       0.000us         0.00%       0.000us       0.000us     129.181us         0.05%     129.181us       2.691us            48
void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816...         0.00%       0.000us         0.00%       0.000us       0.000us      90.176us         0.04%      90.176us       5.636us            16
                                              aten::div         0.09%     406.974us         0.13%     614.866us      12.810us      84.666us         0.03%      84.666us       1.764us            48
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us      84.666us         0.03%      84.666us       1.764us            48
void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816...         0.00%       0.000us         0.00%       0.000us       0.000us      81.281us         0.03%      81.281us       5.080us            16
void cublasLt::splitKreduce_kernel<32, 16, int, __ha...         0.00%       0.000us         0.00%       0.000us       0.000us      68.608us         0.03%      68.608us       1.429us            48
void at_cuda_detail::cub::detail::radix_sort::Device...         0.00%       0.000us         0.00%       0.000us       0.000us      64.289us         0.03%      64.289us       2.009us            32
void cutlass::Kernel2<cutlass_80_wmma_tensorop_f16_s...         0.00%       0.000us         0.00%       0.000us       0.000us      57.120us         0.02%      57.120us       3.570us            16
                                           aten::arange         0.14%     634.264us         0.45%       2.091ms      16.334us      44.290us         0.02%      88.580us       0.692us           128
void (anonymous namespace)::elementwise_kernel_with_...         0.00%       0.000us         0.00%       0.000us       0.000us      44.290us         0.02%      44.290us       0.692us            64
at::native::(anonymous namespace)::fill_reverse_indi...         0.00%       0.000us         0.00%       0.000us       0.000us      32.415us         0.01%      32.415us       1.013us            32
void at_cuda_detail::cub::detail::radix_sort::Device...         0.00%       0.000us         0.00%       0.000us       0.000us      30.114us         0.01%      30.114us       0.941us            32
                                           aten::argmax         0.01%      37.504us         0.01%      56.131us      18.710us      26.432us         0.01%      26.432us       8.811us             3
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      26.432us         0.01%      26.432us       8.811us             3
                       Memcpy HtoD (Pageable -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      25.441us         0.01%      25.441us       0.265us            96
                         Memcpy HtoD (Pinned -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      10.175us         0.00%      10.175us       0.339us            30
                                 aten::_index_put_impl_         0.01%      51.277us         0.04%     195.406us      65.135us       6.848us         0.00%      14.144us       4.715us             3
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       6.848us         0.00%       6.848us       2.283us             3
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       6.496us         0.00%       6.496us       2.165us             3
                                              aten::add         0.01%      60.398us         0.02%      90.908us      10.101us       6.496us         0.00%       6.496us       0.722us             9
                           _compute_slot_mapping_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       5.248us         0.00%       5.248us       1.749us             3
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       4.928us         0.00%       4.928us       4.928us             1
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.520us         0.00%       3.520us       1.173us             3
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.976us         0.00%       2.976us       0.992us             3
                                  cudaStreamIsCapturing         0.07%     304.174us         0.07%     304.174us       0.458us       2.688us         0.00%       2.688us       0.004us           664
                                              aten::sub         0.01%      28.255us         0.01%      44.120us      14.707us       2.591us         0.00%       2.591us       0.864us             3
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       2.591us         0.00%       2.591us       0.864us             3
                               cudaEventRecordWithFlags         0.01%      29.734us         0.01%      29.734us       1.487us       2.432us         0.00%       2.432us       0.122us            20
                                   cudaEventSynchronize         0.01%      27.607us         0.01%      27.607us       3.451us       1.760us         0.00%       1.760us       0.220us             8
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       1.344us         0.00%       1.344us       0.672us             2
                 execute_context_1(512)_generation_0(0)         1.59%       7.390ms        16.81%      78.072ms      78.072ms       0.000us         0.00%      35.075ms      35.075ms             1
                                            aten::empty         2.22%      10.292ms         2.22%      10.298ms       3.067us       0.000us         0.00%       0.000us       0.000us          3358
                                         cudaEventQuery         0.00%       9.481us         0.00%       9.481us       1.053us       0.000us         0.00%       0.000us       0.000us             9
                                               aten::to         0.51%       2.391ms        37.46%     173.976ms      97.904us       0.000us         0.00%       1.358ms       0.764us          1777
                                       aten::lift_fresh         0.01%      27.786us         0.01%      27.786us       0.246us       0.000us         0.00%       0.000us       0.000us           113
                                          aten::detach_         0.01%      23.871us         0.01%      23.871us       0.230us       0.000us         0.00%       0.000us       0.000us           104
                                         aten::_to_copy         1.22%       5.643ms        36.95%     171.585ms      97.491us       0.000us         0.00%       1.358ms       0.772us          1760
                                    aten::empty_strided         1.11%       5.164ms         1.11%       5.164ms       2.782us       0.000us         0.00%       0.000us       0.000us          1856
                                        cudaMemcpyAsync        31.26%     145.161ms        31.26%     145.161ms      82.902us       0.000us         0.00%       0.000us       0.000us          1751
                                            aten::slice         1.03%       4.765ms         1.26%       5.853ms       2.358us       0.000us         0.00%       0.000us       0.000us          2482
                                       aten::as_strided         0.56%       2.606ms         0.56%       2.606ms       0.462us       0.000us         0.00%       0.000us       0.000us          5645
                                          aten::flatten         0.00%      13.359us         0.00%      21.248us       7.083us       0.000us         0.00%       0.000us       0.000us             3
                                             aten::view         0.20%     931.841us         0.20%     931.841us       0.763us       0.000us         0.00%       0.000us       0.000us          1221
                                     aten::index_select         1.16%       5.400ms         4.12%      19.154ms      36.977us       0.000us         0.00%       1.304ms       2.516us           518
                                           aten::detach         0.00%       9.898us         0.00%       9.898us       1.650us       0.000us         0.00%       0.000us       0.000us             6
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
Self CPU time total: 464.420ms
Self CUDA time total: 254.143ms
