-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                     aten::index_select         1.01%       5.442ms         2.96%      15.899ms      38.035us      96.575us         0.07%     651.953us       1.560us           418
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us      96.575us         0.07%      96.575us       3.115us            31
void cutlass::Kernel2<cutlass_80_wmma_tensorop_f16_s...         0.00%       0.000us         0.00%       0.000us       0.000us      73.057us         0.05%      73.057us       4.566us            16
                                            aten::index         0.14%     738.363us         0.27%       1.431ms      40.875us      59.040us         0.04%      81.151us       2.319us            35
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      44.063us         0.03%      44.063us       2.592us            17
void cublasLt::splitKreduce_kernel<32, 16, int, __ha...         0.00%       0.000us         0.00%       0.000us       0.000us      41.185us         0.03%      41.185us       1.287us            32
void cutlass::Kernel2<cutlass_80_wmma_tensorop_f16_s...         0.00%       0.000us         0.00%       0.000us       0.000us      40.703us         0.03%      40.703us       2.544us            16
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      40.225us         0.03%      40.225us       0.821us            49
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      37.919us         0.03%      37.919us       2.107us            18
                         Memcpy HtoD (Pinned -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      37.537us         0.03%      37.537us       0.291us           129
                                 aten::_index_put_impl_         0.05%     273.775us         0.19%       1.010ms      59.410us      37.054us         0.03%      77.853us       4.580us            17
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      37.054us         0.03%      37.054us       2.180us            17
                                              aten::add         0.06%     313.302us         0.09%     471.526us       9.246us      33.437us         0.02%      33.437us       0.656us            51
                           _compute_slot_mapping_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      29.375us         0.02%      29.375us       1.728us            17
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      23.711us         0.02%      23.711us       0.741us            32
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      17.151us         0.01%      17.151us       1.009us            17
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      16.607us         0.01%      16.607us       0.977us            17
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us      16.286us         0.01%      16.286us       0.958us            17
                                              aten::sub         0.03%     160.127us         0.05%     253.901us      14.935us      14.782us         0.01%      14.782us       0.870us            17
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      14.782us         0.01%      14.782us       0.870us            17
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us       6.369us         0.00%       6.369us       0.375us            17
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       5.344us         0.00%       5.344us       5.344us             1
                               cudaEventRecordWithFlags         0.03%     135.176us         0.03%     135.176us       1.733us       2.016us         0.00%       2.016us       0.026us            78
                                         aten::scatter_         0.00%      24.135us         0.01%      33.263us      33.263us       1.440us         0.00%       1.440us       1.440us             1
void at::native::_scatter_gather_elementwise_kernel<...         0.00%       0.000us         0.00%       0.000us       0.000us       1.440us         0.00%       1.440us       1.440us             1
                                  cudaStreamIsCapturing         0.08%     437.577us         0.08%     437.577us       0.557us       1.440us         0.00%       1.440us       0.002us           785
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       1.311us         0.00%       1.311us       0.655us             2
                                       cuLaunchKernelEx         2.40%      12.919ms         2.40%      12.919ms       4.892us       0.832us         0.00%       0.832us       0.000us          2641
                                           Buffer Flush         0.02%     122.201us         0.03%     141.926us     141.926us       0.832us         0.00%       0.832us       0.832us             1
                 execute_context_1(128)_generation_0(0)         1.32%       7.072ms         7.01%      37.644ms      37.644ms       0.000us         0.00%      14.381ms      14.381ms             1
                                   cudaEventSynchronize         0.02%      92.746us         0.02%      92.746us       2.576us       0.000us         0.00%       0.000us       0.000us            36
                                            aten::empty         3.53%      18.987ms         3.54%      18.996ms       3.264us       0.000us         0.00%       0.000us       0.000us          5820
                                         cudaEventQuery         0.01%      54.549us         0.01%      54.549us       2.182us       0.000us         0.00%       0.000us       0.000us            25
                                               aten::to         0.32%       1.724ms        10.62%      57.032ms      55.750us       0.000us         0.00%     540.028us       0.528us          1023
                                       aten::lift_fresh         0.02%     115.180us         0.02%     115.180us       0.190us       0.000us         0.00%       0.000us       0.000us           605
                                          aten::detach_         0.02%     123.980us         0.02%     123.980us       0.224us       0.000us         0.00%       0.000us       0.000us           554
                                         aten::_to_copy         0.73%       3.908ms        10.30%      55.308ms      57.493us       0.000us         0.00%     540.028us       0.561us           962
                                    aten::empty_strided         1.44%       7.732ms         1.45%       7.778ms       3.794us       0.000us         0.00%       0.000us       0.000us          2050
                                        cudaMemcpyAsync         1.32%       7.111ms         1.32%       7.111ms       9.623us       0.000us         0.00%       0.000us       0.000us           739
                                            aten::slice         1.14%       6.123ms         1.42%       7.620ms       2.743us       0.000us         0.00%       0.000us       0.000us          2778
                                       aten::as_strided         0.72%       3.862ms         0.72%       3.862ms       0.598us       0.000us         0.00%       0.000us       0.000us          6457
                                          aten::flatten         0.01%      52.649us         0.02%     102.313us       6.018us       0.000us         0.00%       0.000us       0.000us            17
                                             aten::view         0.46%       2.492ms         0.46%       2.492ms       0.622us       0.000us         0.00%       0.000us       0.000us          4009
                                           aten::detach         0.01%      50.494us         0.01%      50.494us       1.485us       0.000us         0.00%       0.000us       0.000us            34
                                     aten::resolve_conj         0.00%      14.570us         0.00%      14.570us       0.286us       0.000us         0.00%       0.000us       0.000us            51
                                      aten::resolve_neg         0.00%       7.041us         0.00%       7.041us       0.138us       0.000us         0.00%       0.000us       0.000us            51
                                       cudaLaunchKernel         4.12%      22.154ms         4.12%      22.154ms       5.691us       0.000us         0.00%       0.000us       0.000us          3893
                                          aten::reshape         0.02%      83.848us         0.03%     163.519us       2.370us       0.000us         0.00%       0.000us       0.000us            69
                                               aten::lt         0.04%     222.300us         0.04%     222.300us      13.076us       0.000us         0.00%       0.000us       0.000us            17
                                        aten::embedding         0.01%      40.588us         0.09%     504.378us      29.669us       0.000us         0.00%      49.440us       2.908us            17
                                          aten::resize_         0.24%       1.316ms         0.24%       1.316ms       3.282us       0.000us         0.00%       0.000us       0.000us           401
                                           aten::expand         0.52%       2.810ms         0.66%       3.526ms       2.973us       0.000us         0.00%       0.000us       0.000us          1186
                                  cudaStreamSynchronize         5.83%      31.315ms         5.83%      31.315ms      57.564us       0.000us         0.00%       0.000us       0.000us           544
                                 aten::split_with_sizes         0.29%       1.542ms         0.37%       2.010ms       7.390us       0.000us         0.00%       0.000us       0.000us           272
                          vllm::unified_kv_cache_update         1.58%       8.465ms         3.50%      18.792ms      69.087us       0.000us         0.00%     484.985us       1.783us           272
                                        aten::transpose         0.46%       2.479ms         0.61%       3.267ms       3.921us       0.000us         0.00%       0.000us       0.000us           833
                                            aten::split         0.37%       2.007ms         1.26%       6.783ms      12.468us       0.000us         0.00%       0.000us       0.000us           544
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
Self CPU time total: 537.219ms
Self CUDA time total: 141.287ms
