-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
void at_cuda_detail::cub::detail::scan::DeviceScanKe...         0.00%       0.000us         0.00%       0.000us       0.000us     464.771us         0.31%     464.771us       1.210us           384
                                         aten::scatter_         0.47%       3.092ms         0.69%       4.561ms      16.706us     412.347us         0.28%     412.347us       1.510us           273
void at::native::_scatter_gather_elementwise_kernel<...         0.00%       0.000us         0.00%       0.000us       0.000us     410.971us         0.27%     410.971us       1.511us           272
void flash::flash_fwd_splitkv_kernel<Flash_fwd_kerne...         0.00%       0.000us         0.00%       0.000us       0.000us     400.733us         0.27%     400.733us      12.523us            32
                                           aten::arange         0.66%       4.335ms         2.39%      15.782ms      14.945us     355.483us         0.24%     710.966us       0.673us          1056
void (anonymous namespace)::elementwise_kernel_with_...         0.00%       0.000us         0.00%       0.000us       0.000us     355.483us         0.24%     355.483us       0.673us           528
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     343.393us         0.23%     343.393us       0.856us           401
                                              aten::div         0.34%       2.250ms         0.52%       3.450ms      12.682us     340.327us         0.23%     340.327us       1.251us           272
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us     340.327us         0.23%     340.327us       1.251us           272
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     331.713us         0.22%     331.713us       0.691us           480
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     306.662us         0.20%     306.662us       0.737us           416
void at_cuda_detail::cub::detail::radix_sort::Device...         0.00%       0.000us         0.00%       0.000us       0.000us     299.136us         0.20%     299.136us       4.674us            64
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us     276.403us         0.18%     276.403us       0.720us           384
void at_cuda_detail::cub::detail::scan::DeviceScanIn...         0.00%       0.000us         0.00%       0.000us       0.000us     274.921us         0.18%     274.921us       0.716us           384
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     223.881us         0.15%     223.881us       0.823us           272
void at::native::radixSortKVInPlace<-2, -1, 32, 32, ...         0.00%       0.000us         0.00%       0.000us       0.000us     160.641us         0.11%     160.641us      10.040us            16
                                           aten::argmax         0.03%     202.234us         0.04%     288.615us      16.977us     149.345us         0.10%     149.345us       8.785us            17
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     149.345us         0.10%     149.345us       8.785us            17
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us     141.945us         0.09%     141.945us       0.354us           401
                       Memcpy HtoD (Pageable -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     139.718us         0.09%     139.718us       0.257us           544
                              aten::_local_scalar_dense         0.26%       1.722ms         0.77%       5.095ms      13.268us     136.154us         0.09%     136.154us       0.355us           384
                       Memcpy DtoH (Device -> Pageable)         0.00%       0.000us         0.00%       0.000us       0.000us     129.509us         0.09%     129.509us       0.337us           384
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us     129.471us         0.09%     129.471us     129.471us             1
                                     aten::index_select         0.65%       4.287ms         2.04%      13.443ms      32.160us     103.905us         0.07%     669.028us       1.601us           418
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us     103.905us         0.07%     103.905us       3.352us            31
void cutlass::Kernel2<cutlass_80_wmma_tensorop_f16_s...         0.00%       0.000us         0.00%       0.000us       0.000us      73.567us         0.05%      73.567us       4.598us            16
                                        Memset (Device)         0.00%       0.000us         0.00%       0.000us       0.000us      71.934us         0.05%      71.934us       0.749us            96
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      44.317us         0.03%      44.317us       2.607us            17
void cublasLt::splitKreduce_kernel<32, 16, int, __ha...         0.00%       0.000us         0.00%       0.000us       0.000us      40.991us         0.03%      40.991us       1.281us            32
void cutlass::Kernel2<cutlass_80_wmma_tensorop_f16_s...         0.00%       0.000us         0.00%       0.000us       0.000us      40.640us         0.03%      40.640us       2.540us            16
                                 aten::_index_put_impl_         0.04%     266.699us         0.14%     912.529us      53.678us      37.154us         0.02%      77.633us       4.567us            17
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      37.154us         0.02%      37.154us       2.186us            17
                         Memcpy HtoD (Pinned -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      35.487us         0.02%      35.487us       0.275us           129
                                              aten::add         0.05%     316.121us         0.07%     476.302us       9.339us      33.343us         0.02%      33.343us       0.654us            51
void at_cuda_detail::cub::detail::radix_sort::Device...         0.00%       0.000us         0.00%       0.000us       0.000us      31.933us         0.02%      31.933us       1.996us            16
                           _compute_slot_mapping_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      29.312us         0.02%      29.312us       1.724us            17
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      16.927us         0.01%      16.927us       0.996us            17
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us      16.416us         0.01%      16.416us       0.966us            17
at::native::(anonymous namespace)::fill_reverse_indi...         0.00%       0.000us         0.00%       0.000us       0.000us      15.874us         0.01%      15.874us       0.992us            16
void at_cuda_detail::cub::detail::radix_sort::Device...         0.00%       0.000us         0.00%       0.000us       0.000us      15.232us         0.01%      15.232us       0.952us            16
                                              aten::sub         0.02%     155.122us         0.04%     247.011us      14.530us      14.753us         0.01%      14.753us       0.868us            17
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      14.753us         0.01%      14.753us       0.868us            17
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       5.471us         0.00%       5.471us       5.471us             1
                                Activity Buffer Request         0.12%     786.151us         0.35%       2.278ms     759.332us       3.455us         0.00%     312.669us     104.223us             3
                               cudaEventRecordWithFlags         0.02%     121.128us         0.02%     121.128us       1.553us       2.784us         0.00%       2.784us       0.036us            78
                                  cudaStreamIsCapturing         0.10%     679.042us         0.10%     679.042us       0.581us       1.825us         0.00%       1.825us       0.002us          1169
                                           Buffer Flush         0.02%     100.496us         0.02%     100.496us     100.496us       1.664us         0.00%       1.664us       1.664us             1
void at::native::_scatter_gather_elementwise_kernel<...         0.00%       0.000us         0.00%       0.000us       0.000us       1.376us         0.00%       1.376us       1.376us             1
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       1.312us         0.00%       1.312us       0.656us             2
                 execute_context_1(128)_generation_0(0)         1.07%       7.085ms         6.31%      41.621ms      41.621ms       0.000us         0.00%      14.905ms      14.905ms             1
                                   cudaEventSynchronize         0.02%     102.567us         0.02%     102.567us       2.849us       0.000us         0.00%       0.000us       0.000us            36
                                            aten::empty         3.10%      20.482ms         3.11%      20.490ms       3.118us       0.000us         0.00%       0.000us       0.000us          6572
                                         cudaEventQuery         0.00%      29.511us         0.00%      29.511us       1.180us       0.000us         0.00%       0.000us       0.000us            25
                                               aten::to         0.51%       3.337ms        13.66%      90.143ms      36.838us       0.000us         0.00%       1.627ms       0.665us          2447
                                       aten::lift_fresh         0.02%     144.221us         0.02%     144.221us       0.238us       0.000us         0.00%       0.000us       0.000us           605
                                          aten::detach_         0.02%     127.542us         0.02%     127.542us       0.230us       0.000us         0.00%       0.000us       0.000us           554
                                         aten::_to_copy         1.20%       7.923ms        13.15%      86.805ms      36.381us       0.000us         0.00%       1.627ms       0.682us          2386
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
Self CPU time total: 659.905ms
Self CUDA time total: 149.914ms
